"filename", "language", "JSON with Comments", "Markdown", "Pug", "TypeScript", "JSON", "C#", "XML", "Properties", "JavaScript", "CSS", "comment", "blank", "total"
"/run/media/peercat/DATA/Code/NodeVMS/src/util/sitemail.ts", "TypeScript", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 1, 2, 26
"/run/media/peercat/DATA/Code/NodeVMS/src/util/streamlog.ts", "TypeScript", 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 3, 4, 33
"/run/media/peercat/DATA/Code/NodeVMS/src/www.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 3, 13
"/run/media/peercat/DATA/Code/NodeVMS/tsconfig.json", "JSON with Comments", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 80, 9, 111
"/run/media/peercat/DATA/Code/NodeVMS/views/contact.pug", "Pug", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 3, 27
"/run/media/peercat/DATA/Code/NodeVMS/views/home.pug", "Pug", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"/run/media/peercat/DATA/Code/NodeVMS/views/layout.pug", "Pug", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 8, 5, 32
"/run/media/peercat/DATA/Code/NodeVMS/views/partials/features.pug", "Pug", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17
"/run/media/peercat/DATA/Code/NodeVMS/views/partials/flash.pug", "Pug", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19
"/run/media/peercat/DATA/Code/NodeVMS/views/partials/footer.pug", "Pug", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 2, 18
"/run/media/peercat/DATA/Code/NodeVMS/views/partials/header.pug", "Pug", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20
"/run/media/peercat/DATA/Code/NodeVMS/views/partials/hero.pug", "Pug", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"/run/media/peercat/DATA/Code/NodeVMS/views/partials/pricing.pug", "Pug", 0, 0, 103, 0, 0, 0, 0, 0, 0, 0, 0, 11, 114
"/run/media/peercat/DATA/Code/NodeVMS/views/weather.pug", "Pug", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 1, 2, 32
"Total", "-", 22, 24, 261, 745, 4299, 35, 32, 10, 32, 10331, 194, 2521, 18506
